"(singing) ""Ay, ay, ay, ay, sing and don't cry, because singing they become happy, pretty sky, one's heart.""","(cantando) “Ah, ya ya yai, canta y no llores, porque cantando se alegran, cielito lindo, los corazones”"
What was that about?,¿Y eso?
Mariachis. I just got off the phone with a friend who lives in Mexico city.,Mariachis. Acabo de hablar por teléfono con una amiga que vive en Ciudad de México.
"Romantic? Well, I don't know.","¿Romántico? Bueno, no sé."
Of course. That's how the tradition goes.,Claro que sí. Así funciona la tradición.
"Ah, yes. And more lucky to be home!","Ah, sí. ¡Más la suerte de estar en casa!"
"Imagine that! Being away from home when your boyfriend arrives with a band of mariachis to propose,","¡Imagínate! Estar fuera de casa mientras tu novio llega con la banda de mariachis,"
And the mother shows up!,¡Y llega la mamá!
Or they arrive at the wrong balcony!,¡O llega al balcón equivocado!
"What a tragedy! And the neighbors, dying of laughter.","¡Qué tragedia! Y los vecinos, muertos de la risa."
"Fortunately, that didn't happen.",Menos mal que eso no pasó.
Your friend should've heard the trumpets before they arrived.,Tu amiga debió de haber escuchado las trompetas antes de que llegaran.
"Yes, she commented on that. And I think he organized it with her parents.","Sí, algo me comentó. Y creo que él lo organizó con sus padres."
What do the mariachis sing?,¿Qué cantan los mariachis?
"Traditional music of Mexico: songs of love, loud dancing songs, happy tunes, of all types.","La música típica de México: canciones de amor, rancheras, corridos, de todo tipo."
"José Alfredo Jiménez? He's the one that sings ""El Rey,"" right?","¿José Alfredo Jiménez? Él es el que canta “El Rey,” ¿cierto?"
(sings),“Y mi palabra es la ley.”
How could one forget that song!,¡Cómo olvidar esa canción!
"One day, my boyfriend is going to propose to me dressed in mariachi, singing a song of love.","Algún día, mi novio me va a pedir matrimonio vestido de mariachi, cantando una canción de amor."
Let's hope he has a good voice!,¡Esperemos de que tenga buena voz!
"She said that her boyfriend hired mariachis last Saturday, and proposed to her.","Me dijo que su novio contrató mariachis el sábado pasado, y le pidió matrimonio."
Don't you find that romantic?,¿No lo encuentras romántico?
Depends if the boyfriend dressed up like a mariachi and sang with them.,Depende de si el novio se vistió de mariachi y cantó con ellos.
She told me that she was lucky to have a balcony.,Ella me contó que tuvo suerte de tener un balcón.
and they present themselves below the balcony to sing a serenade to you.,y se presentan bajo tu balcón para dedicarte una serenata.
The favorites are José Alfredo Jiménez and Pedro Vargas.,Los favoritos son José Alfredo Jiménez y Pedro Vargas.
(sings),"(canta) “Con dinero y sin dinero, hago siempre lo que quiero…”"
"For example, Mauricio was dying of shame because he had to sing.","Por ejemplo, Mauricio estaba muerto de vergüenza por tener que cantar."
"Hey, that isn't true!","Hey, eso no es verdad!"
The most important thing is that they sing love songs!,¡Lo más importante es que cantan canciones de amor!
The rancheras and corridos are songs for singing loudly and dancing. They speak of love and of Mexico.,Las rancheras y corridos son canciones para cantar fuerte y bailar. Hablan de amor y de México.
And their love of Mexico.,Y de su amor a México.
"Don't believe it, they often include crying.","No te creas, muchas veces incluyen llanto."
"But listen to how the song goes: I don't have a throne nor a queen, and nobody understands me.","Pero escucha como sigue la canción: no tengo trono ni reina, ni nadie que me comprenda."
But I'm still the king!,Pero sigo siendo el rey!
"If the singer is bad, the band can play very loud, so that I don't have to listen! The important thing is the intention.","Si el cantante es malo, la banda puede tocar muy fuerte, para que no lo tenga que escuchar! Lo importante es la intención"
"What do you propose we test this time, Amy?","¿Qué propones evaluar esta vez, Amy?"
I want to ask for your hand in marriage.,Quiero pedir matrimonio.
Imagine! He or she said yes!,¡Imagínate! ¡Dijo que sí!
"Well, that's it for this lesson. Until next time.","Bueno, eso es todo por esta lección. Hasta la próxima."
"No, wait! Amy still hasn't said who sang better of us both.","No, ¡espera! Amy todavía no nos dices quién cantó mejor de los dos."
"Goodbye everyone, we'll be waiting for you!","Adiós a todos, los esperamos!"
Don't delay so much! We don't have all day.,¡No te demores tanto! No tenemos todo el día.
"Oh, but it's romantic, right?","Ah, pero es romántico, ¿no?"
"Well. In few words, do you want to marry me?","Bueno. En pocas palabras, ¿Quieres casarte conmigo?"
My boyfriend asked for my hand in marriage.,Mi novio me pidió matrimonio.
I find them very romantic.,Las encuentro bastante románticas.
I find them more funny than romantic. And I find that we should explain mariachis.,Las encuentro más chistosas que románticas. Y encuentro que deberíamos explicar qué son los mariachis.
They are traditional Mexican musical bands. They wear uniforms with silver studs and hats.,Son bandas de música tradicional mexicana. Visten uniformes con tachuelas plateadas y sombreros.
"When you arrive somewhere, they play trumpets and guitars, and they transform a public event.","Cuando llegan a un lugar, tocan trompetas y guitarras, y se transforman en un evento público."
"The mariachis go to the girlfriend's house with the boyfriend, and they start to play while the boyfriend…","Los mariachis van a la casa de la novia con el novio, y comienzan a tocar mientras el novio…"
Listen to the conversation again.,Escucha la conversación otra vez.
Bad luck.,Mala suerte.
My friend had the luck of having a balcony.,Mi amiga tuvo suerte de tener un balcón.
Worse if the boyfriend changes his mind.,Peor aún si el novio cambia de idea.
You don’t know my friend. She has been waiting for this moment since she was a baby.,No conoces a mi amiga. Ella ha estado esperando este momento desde que era bebé.
Imagine! To lose the only chance of getting married? I don't think so.,¡Imagínate! ¿Perder la única chance de casarse? No lo creo.
away from home,fuera de casa
"In Latin American, when a person sings a song by another person, they say that that person is dedicating the song.","En Latinoamérica, cuando una persona canta una canción por otra persona, se dice que esa persona le dedica la canción."
No. It means that you have good fortune.,No. Significa que tiene buena fortuna.
dying of hunger,muerto de hambre
dying of shame,muerto de vergüenza
"Welcome to Lesson 3 in the first unit of Rocket Spanish Platinum. Today's topic is ""Mariachis.""",Bienvenidos a la Lección 3 de la primera unidad de Rocket Spanish Platinum. El tema de hoy es “Mariachis.”
I hope that they don't have very sensitive ears.,Ojalá no tengan los oídos muy sensibles.
How exaggerated you are!,¡Qué exagerada eres!
Mauricio is going to sing in today's conversation. I'm preparing my ears.,Mauricio va a cantar en la conversación de hoy. Estoy preparando mis oídos.
I could say the same about you.,Lo mismo podría decir de tí.
Okay. What do you say Mauricio?,Está bien. ¿Qué dices Mauricio?
I support the idea.,Apoyo la idea.
"Don't get distracted, Amy, you have to tell us who sang better, Mauricio or me?","No te distraigas, Amy, tienes que decirnos quién cantó mejor, ¿Mauricio o yo?"
"Good idea, Amy. Even though we both know who you are going to choose.","Buena idea, Amy. Aunque los dos sabemos a quién vas a elegir."
"It's a traditional Mexican song, that is called ""Sing and don't cry."" It's very famous.","Es una canción tradicional de México, que se llama “Canta y no llores.” Es muy famosa."
To dance the bamba you need a little bit of grace…,Para bailar la bamba se necesita un poca de gracia…
"It's stranger to called someone ""sweetie-pie.""",Es más extraño llamarle a alguien “sweetie-pie.”
The only thing more romantic than mariachis is a game of soccer with friends.,La única cosa más romántica que mariachis es un partido de fútbol con los amigos.
Mauricio is a true Don Juan.,Mauricio es un verdadero donjuán.
"Hey, girls, a little bit of respect, please?","Hey, chicas, un poco de respeto, ¿por favor?"
I'm sorry.,Lo siento.
To ask for her hand in marriage. Don't you find that romantic?,Para pedirle matrimonio. ¿No lo encuentras romántico?
You are the woman of my life… I wished/hoped for you all my life… I want to spend the rest of my life with you…,Eres la mujer de mi vida … Esperaba toda mi vida por ti … Quiero pasar el resto de mi vida contigo. …
